id|nct_id|result_group_id|ctgov_group_code|units|scope|count
171016|NCT01365468|1462917|B2|Participants|Overall|5
171017|NCT01365468|1462918|B1|Participants|Overall|4
171018|NCT01365455|1462931|B4|Participants|Overall|738
171019|NCT01365455|1462932|B3|Participants|Overall|248
171020|NCT01365455|1462933|B2|Participants|Overall|245
171021|NCT01365455|1462934|B1|Participants|Overall|245
171022|NCT01365273|1463026|B3|Participants|Overall|43
171023|NCT01365273|1463027|B2|Participants|Overall|21
171024|NCT01365273|1463028|B1|Participants|Overall|22
171025|NCT01365130|1463039|B1|Participants|Overall|13
171026|NCT01365091|1463043|B5|Participants|Overall|112
171027|NCT01365091|1463044|B4|Participants|Overall|28
171028|NCT01365091|1463045|B3|Participants|Overall|28
171029|NCT01365091|1463046|B2|Participants|Overall|28
171030|NCT01365091|1463047|B1|Participants|Overall|28
171031|NCT01365052|1463076|B3|Participants|Overall|326
171032|NCT01365052|1463077|B2|Participants|Overall|109
171033|NCT01365052|1463078|B1|Participants|Overall|217
171034|NCT01365039|1463093|B3|Participants|Overall|173
171035|NCT01365039|1463094|B2|Participants|Overall|87
171036|NCT01365039|1463095|B1|Participants|Overall|86
171037|NCT01364922|1463104|B4|Participants|Overall|168
171038|NCT01364922|1463105|B3|Participants|Overall|47
171039|NCT01364922|1463106|B2|Participants|Overall|99
171040|NCT01364922|1463107|B1|Participants|Overall|22
171041|NCT01364896|1463120|B1|Participants|Overall|46
171042|NCT01364740|1463128|B1|Participants|Overall|10
171043|NCT01364727|1463136|B1|Participants|Overall|35
171044|NCT01364649|1463142|B3|Participants|Overall|447
171045|NCT01364649|1463143|B2|Participants|Overall|222
171046|NCT01364649|1463144|B1|Participants|Overall|225
171047|NCT01364558|1463155|B1|Participants|Overall|24
171048|NCT01364428|1463165|B3|Participants|Overall|373
171049|NCT01364428|1463166|B2|Participants|Overall|187
171050|NCT01364428|1463167|B1|Participants|Overall|186
171051|NCT01364389|1463182|B4|Participants|Overall|16
171052|NCT01364389|1463183|B3|Participants|Overall|5
171053|NCT01364389|1463184|B2|Participants|Overall|6
171054|NCT01364389|1463185|B1|Participants|Overall|5
171055|NCT01364298|1463204|B3|Participants|Overall|348
171056|NCT01364298|1463205|B2|Participants|Overall|174
171057|NCT01364298|1463206|B1|Participants|Overall|174
171058|NCT01364259|1463229|B3|Participants|Overall|17
171059|NCT01364259|1463230|B2|Participants|Overall|8
171060|NCT01364259|1463231|B1|Participants|Overall|9
171061|NCT01364207|1463240|B1|Participants|Overall|106
171062|NCT01363986|1463249|B1|Participants|Overall|3
171063|NCT01363908|1463257|B3|Participants|Overall|29
171064|NCT01363908|1463258|B2|Participants|Overall|16
171065|NCT01363908|1463259|B1|Participants|Overall|13
171066|NCT01363843|1463290|B1|Participants|Overall|39
171067|NCT01363765|1463294|B3|Participants|Overall|4660
171068|NCT01363765|1463295|B2|Participants|Overall|2050
171069|NCT01363765|1463296|B1|Participants|Overall|2610
171070|NCT01363713|1463309|B1|Participants|Overall|130
171071|NCT01363700|1463315|B4|Participants|Overall|87
171072|NCT01363700|1463316|B3|Participants|Overall|22
171073|NCT01363700|1463317|B2|Participants|Overall|22
171074|NCT01363700|1463318|B1|Participants|Overall|43
171075|NCT01363661|1463339|B3|Participants|Overall|46
171076|NCT01363661|1463340|B2|Participants|Overall|28
171077|NCT01363661|1463341|B1|Participants|Overall|18
171078|NCT01363492|1463358|B1|Participants|Overall|14
